"review_id","review_score","customer_id","product_id"
3001,3,1,"GNZuCtwed3"
3002,3,2,"CAgNlUizNm"
3003,2,3,"vDe7GN0NrL"
3004,2,4,"TbUBpfn6iP"
3005,3,5,"oemYWm1Tjg"
3006,5,6,"TrRF46JWfP"
3007,4,7,"uISKeFTl5s"
3008,1,8,"LqLKTtrOmx"
3009,2,9,"QiOKkCi7F8"
3010,3,10,"E3dsmnSPob"
3011,5,11,"eLGzdD8Tvb"
3012,3,12,"yjMQ90i6Rd"
3013,3,13,"zUUAkSVCEa"
3014,1,14,"Z42dvbYWzV"
3015,4,15,"gbEGjSAk6r"
3016,1,16,"cYKSVBW4HD"
3017,1,17,"HtRmsP3KiK"
3018,5,18,"dqrONtdjbt"
3019,3,19,"IBsVsBliwX"
3020,2,20,"iO6vHa6qJm"
3021,2,21,"GDWGBWY8Fi"
3022,1,22,"x6lwoJexxL"
3023,3,23,"GAJVvVF2Pq"
3024,4,24,"L8NdOggYQS"
3025,1,25,"IZu8PDQ8Sw"
3026,3,26,"lvTbU6FUNv"
3027,5,27,"WJHmhA3kcA"
3028,4,28,"36NAIBFBTl"
3029,2,29,"1WsN28J98D"
3030,5,30,"E8yKVg673v"
3031,1,31,"f5USNzAo4O"
3032,1,32,"8BqiGU5Lyc"
3033,2,33,"fJPzrxomGl"
3034,3,34,"zIOo4MR9ay"
3035,4,35,"zAXNfGTAMi"
3036,5,36,"U3mPyHq5sT"
3037,5,37,"6KpHap4hhS"
3038,3,38,"RYvEDQKrAU"
3039,1,39,"QYeyEEnp7x"
3040,2,40,"98vV9LeJL9"
3041,5,41,"eBxtwiMm0w"
3042,5,42,"zMknhTUJhp"
3043,4,43,"QVf8LP5vps"
3044,5,44,"w4NX6nj3Tv"
3045,2,45,"2IVbGQMw74"
3046,1,46,"xRMA3eZzb4"
3047,1,47,"AT0RGwiATg"
3048,3,48,"SxiO7ErRUg"
3049,1,49,"l9qwaVB0s8"
3050,5,50,"1wIAOSQWq3"
3051,1,51,"YgefTyOqkX"
3052,2,52,"sS0jiBeXKd"
3053,4,53,"phL7Ovnlxz"
3054,4,54,"b1KH72MKAc"
3055,3,55,"OxeKC7zNYj"
3056,1,56,"rZ0ulN53op"
3057,2,57,"e8LjuhEdHx"
3058,1,58,"9PF5pWfPqj"
3059,2,59,"Lwe2aP4Wxh"
3060,4,60,"YFmepeTUNR"
3061,5,61,"ov9kyyLOw6"
3062,5,62,"vLXXiP9Lc3"
3063,3,63,"qDX8KcFdUw"
3064,1,64,"rMJpSJ64gf"
3065,4,65,"uIvCnD1rgw"
3066,1,66,"fqMOZ5Cakr"
3067,1,67,"Nn3cMauCMf"
3068,3,68,"lWpWVQM7IH"
3069,4,69,"lm8VbVNQ0u"
3070,1,70,"4VobQYmAyT"
3071,3,71,"vtkfe4QWwi"
3072,5,72,"iT7mRQ19Ql"
3073,3,73,"0buhGqKZQ3"
3074,2,74,"jXk3iIHp52"
3075,5,75,"LXbGCNTp7f"
3076,5,76,"UtY7RBQDxR"
3077,3,77,"m9rCBAZjsh"
3078,2,78,"To1zdQ1kCz"
3079,2,79,"uijTrAcIS2"
3080,2,80,"B3wLWcEVoL"
3081,4,81,"r2ykGfLwK1"
3082,2,82,"LOMxNXvuFi"
3083,2,83,"LYkor2DMIj"
3084,4,84,"huqmOZ4sxV"
3085,4,85,"v8EUTQ2diL"
3086,1,86,"wk3yD2GiFE"
3087,3,87,"1Gg23OUdi4"
3088,3,88,"QyoDU0GSjz"
3089,1,89,"KwxtUmngaK"
3090,3,90,"0450K7a20A"
3091,5,91,"plGBD33942"
3092,2,92,"Wmh41R9ihs"
3093,3,93,"Kyz2toiHVQ"
3094,2,94,"bvEGjkvSrJ"
3095,5,95,"Cv3PSPfkuo"
3096,5,96,"5BdsaGsBU0"
3097,3,97,"MR7cIEMtzj"
3098,4,98,"zXQx941bhn"
3099,4,99,"89zOBTXKzW"
3100,4,100,"8RcC8mdHBG"
